tipo_vehiculo,tipo_energia,fecha_registro,capacidad_tanque_litros,consumo_l_100km,km_entre_repostajes,litros_por_repostaje,capacidad_bateria_kwh,consumo_kwh_100km,km_entre_recargas,kwh_por_recarga
autobus,diesel,2023-11-30 15:18:49.686335,260.37396307836497,31.966978072100105,665.8841679672852,238.50831024940913,,,,
autobus,diesel,2020-01-31 15:18:49.686335,294.26317792665503,33.371357119181106,737.6619470708727,270.4355763934478,,,,
autobus,diesel,2020-11-30 15:18:49.686335,325.24936394902284,30.34655268841085,946.4660876773228,230.0985148897198,,,,
autobus,diesel,2022-10-31 15:18:49.686335,343.2877597085061,26.881946154457065,415.3637582433423,323.2667293804121,,,,
autobus,diesel,2021-07-31 15:18:49.686335,239.9851796472112,29.805779639471943,892.5818862452936,206.948718886301,,,,
autobus,diesel,2021-09-30 15:18:49.686335,283.2749382079526,25.208477865901948,665.6533906284819,221.67377084096444,,,,
autobus,diesel,2021-11-30 15:18:49.686335,276.2527344419522,35.27266774607381,515.1823927515308,194.86994418458156,,,,
autobus,diesel,2022-10-31 15:18:49.686335,267.3335383713144,28.840214151530866,450.4529561391515,176.62008804842995,,,,
autobus,diesel,2016-01-31 15:18:49.686335,388.27271201405483,36.87028729432598,621.631941383445,334.5270204491249,,,,
autobus,diesel,2021-06-30 15:18:49.686335,320.2490855480478,22.552834830370983,788.2475167886689,319.19842132101877,,,,
autobus,diesel,2021-10-31 15:18:49.686335,236.95580228324775,37.64704185771566,630.8676319433698,181.58291847143198,,,,
autobus,diesel,2020-09-30 15:18:49.686335,345.8930973527388,41.668231692871395,876.6732395371021,290.14869122870226,,,,
autobus,diesel,2022-08-31 15:18:49.686335,406.10780985063167,19.050114859428355,432.32364649226616,364.5680067785086,,,,
autobus,diesel,2018-07-31 15:18:49.686335,351.62326302755736,37.99245255878058,648.1866578230918,263.20590841714903,,,,
autobus,diesel,2016-05-31 15:18:49.686335,224.03150170229932,44.82135193978634,462.14098333803213,192.09659866089083,,,,
autobus,diesel,2020-11-30 15:18:49.686335,275.78829635668745,25.322871850470356,704.5447823937452,167.93796630025585,,,,
autobus,diesel,2024-04-30 15:18:49.686335,363.34555745933113,48.38057909470163,783.033108514595,242.50874329098002,,,,
autobus,diesel,2020-03-31 15:18:49.686335,264.61652671906097,38.35215207492836,586.885730947842,191.24769219603502,,,,
