vehiculo_id,velocidad_media_kmh,frenadas_fuertes_100km,aceleraciones_100km,ratio_ralenti,ratio_carga,consumo_l_100km,eficiente
V003,54.81290521291349,6.51615436908819,2.667774008955641,0.107070555541896,0.3456532346140769,8.170637478485123,0
V002,61.504227734772215,7.615604469170805,4.8646128394436605,0.009675987899755004,0.45330432074531585,8.092792876137626,0
V003,71.26401328259826,3.9691809364608854,4.0533592886516585,0.03805696079019829,0.5841539485614715,8.04914052422603,0
V002,60.46016017533904,2.2231415854628906,7.049726928322534,0.05848649697464925,0.6190272687756,8.220127127479213,0
V001,64.65960271638681,3.0567201982981134,7.119804385207107,0.1193425123059063,0.5136629812809449,8.356948309213292,0
V004,73.29630431035939,4.446679781666044,0.4117955064097183,0.10028993769107145,0.23388893459336013,7.631576997140044,1
V003,63.81472782558438,0.3740382967218352,7.612773546910788,0.10675832272506709,0.07594905815294972,7.4629958967744585,1
V003,70.7127150692243,2.3550016480375904,3.473110233852972,0.07863087255447833,0.41240880235510957,7.795344726117204,1
V001,87.11274147223483,6.3697861489004985,5.590730496491685,0.04059501769987176,0.6442569717419527,8.505738721357703,0
V002,65.93769441215603,1.408579861343275,2.6527281490417587,0.1544058468284668,0.5399394882795485,8.177806114099448,0
V001,82.15205371663048,2.001950201476914,5.927836506774458,0.045110327276617,0.4984066014760074,7.928900775636915,1
V004,74.7124408076883,3.526387311962881,11.378372384052755,0.10095194748529102,0.4485946887067034,8.434391556670677,0
V002,50.3930960781588,4.066284519009418,5.317913903212583,0.0743947673423125,0.5118203686943372,8.271837283512232,0
V003,54.77435564883771,2.2499919076010553,3.850380705884108,0.10814965835173279,0.25118176460921626,7.751435741995469,1
V002,57.99684940316124,3.653928766503911,4.419596913311147,0.04972565073915318,0.6060403638330563,8.164479982967183,0
V001,57.7419809968066,4.715879067478879,1.3274251069049505,0.1326338580443525,0.6192612916844298,8.448146659412407,0
V002,66.91652304671823,7.422903647527295,8.622408215411145,0.14891389579179684,0.3789468983313442,8.69188098227337,0
V001,75.37572857698187,3.247511241130438,5.782207768991526,0.12956615412481856,0.5374015261303275,8.38194773075479,0
V003,83.06190100045667,3.4174053693188746,2.377755234255383,0.08788126629868241,0.10669010712599897,7.455024394465727,1
V002,71.69810106470099,6.554904691959021,2.4592042746781173,0.058243737694815806,0.4860095831942666,8.110206978829073,0
V003,62.651845327361485,2.4016682834038097,5.038205947872066,0.22110558919297796,0.4233749478116667,8.479727151683226,0
V001,43.013105076441505,0.8512939344756383,7.329988483346218,0.030418772761901573,0.7018465813740962,8.32753565131867,0
V004,68.84707490500806,4.000497951317925,2.122525228157572,0.12406147758600665,0.41027144856298786,8.038217951584219,0
V003,68.30924232433989,5.65235005017583,7.7835233546679286,0.0966392444038312,0.6237329026761893,8.664378101832414,0
V003,70.19514504246749,4.222094270399371,4.770916120107741,0.07687312789106393,0.37176549776349976,7.941465530323121,1
V001,93.27488357243999,3.3059686849055083,2.6743915374822578,0.08925814698670075,0.0,7.417745721206548,1
V002,82.88715855431687,0.6032132537303223,3.8307739335675555,0.05448923483193489,0.40489273583795343,7.614915456742703,1
V001,77.42073101899983,3.383261509463254,9.371384692824275,0.1013527771622624,0.4893514510226876,8.39518861523826,0
V001,56.4550744391408,5.966309852632673,1.5294666586366565,0.09584122429800339,0.48016750073770154,8.212433771975777,0
V002,61.84406300963908,1.031765836921557,3.1702676101346334,0.21388266114625865,0.4831901010546956,8.341326236084756,0
V003,66.86186471685798,3.0105056523934572,7.381458961587301,0.13354111075418806,0.3487091595268866,8.170095950494515,0
V004,58.69511451187576,2.7250305356832785,5.541142608634087,0.10579413860632036,0.38525448485099517,8.034457985758023,0
V001,74.00557429982142,2.1045908587245092,3.0218979543548694,0.10877794666548131,0.22473123108389342,7.5964841873448865,1
V001,72.28290619058845,3.9958460090380115,7.411983090912058,0.1719768827747873,0.05067886689816936,7.955756164917554,1
V002,54.94030648334369,4.386610482512015,7.530739332922952,0.0314786717629864,0.42870819932402165,8.064481101929774,0
